book_id,title,date,imprint,placeOfPublication,wordcount,ecco_ID,tcp_ID,author,author_name,author_surname,author_born,author_died
101502500,AN EPISTLE TO Mrs. WALLUP Now in the TRAIN of Her Royal Highness The Princess of WALES. As it was sent to her to the HAGUE. Written by Mrs. SUSANNA CENTLIVRE.,1715,London : printed and sold by R. Burleigh in Amen-Corner and A. Boulter without Temple-Bar,London,709,CW3324703547,K000663.000,Susanna Centlivre 1667?-1723,Susanna Centlivre,Centlivre,1667?,1723
101701100,ANSWER OF PHILIP FRANCIS ESQ. TO THE CHARGE BROUGHT AGAINST SIR JOHN CLAVERING COLONEL GEORGE MONSON AND MR. FRANCIS AT THE BAR OF THE HOUSE OF COMMONS ON THE FOURTH OF FEBRUARY 1788; BY SIR ELIJAH IMPEY KNIGHT.,1788,London : printed by J. Jarvis Wild-Court Lincoln's-Inn-Fields,London,18544,CW3304157109,K071702.000,Philip Sir Francis 1740-1818,Philip Sir Francis,Francis,1740,1818
101701200,HEADS OF Mr. FRANCIS'S SPEECH IN THE HOUSE OF COMMONS ON THE 7TH OF MAY 1793 ON MR. GREY's MOTION FOR A REFORM IN PARLIAMENT.,1793,London : printed for J. Debrett opposite Burlington House Piccadilly,London,4005,CW3303993753,K071701.000,Philip Sir Francis 1740-1818,Philip Sir Francis,Francis,1740,1818
101702400,AN ESSAY UPON Buying and Selling OF SPEECHES. IN A LETTER To a Worshipfull Justice of the Peace Being also A MEMBER of a certain Worshipfull Society of SPEECH-MAKERS.,1716,London : printed for J. Baker and T. Warner in Pater-Noster-Row,London,7012,CW3303994345,K050289.000,Daniel Defoe 1661?-1731,Daniel Defoe,Defoe,1661?,1731
1017801200,A SATIRICAL DIALOGUE BETWEEN A Sea Captain and his Friend in Town: HUMBLY ADDRESS'D To the Gentlemen who deform'd the PLAY of OTHELLO On Thâ€”rsâ€”y Mâ€” the 7th 1750 at the Th-tre R-y-l in Dr-y L-ne: TO WHICH IS ADDED A PROLOGUE AND EPILOGUE Much more suitable to the Occasion than their Own.,1751,London : printed for and sold by J. River under St. Dunstan's Church Fleet-Street,London,1448,CW3315644960,K048101.000,W. (William) Kenrick 1725?-1779,W. (William) Kenrick,Kenrick,1725?,1779
1017801400,PROPOSALS FOR PUBLISHING BY SUBSCRIPTION THE MAN OF THE WORLD A COMEDY IN FIVE ACTS; AND LOVE A LA MODE A COMEDY IN TWO ACTS WRITTEN BY MR. CHARLES MACKLIN.,1791,[London : s.n.,London,619,CW3315644967,K027591.000,Charles Macklin 1697?-1797,Charles Macklin,Macklin,1697?,1797
1017801700,THE TEMPEST. AN OPERA. TAKEN FROM SHAKESPEAR. As it is Performed at the Theatre-Royal in Drury-Lane.,1756,London : printed for J. and R. Tonson in the Strand,London,5602,CW3315644981,K046085.000,David Garrick 1717-1779,David Garrick,Garrick,1717,1779
101801800,A LETTER FROM THE COCOA TREE TO THE COUNTRY GENTLEMEN.,1762,London : printed for J. Nicholls in St. Paul's Church Yard,London,2353,CW3304369119,K024870.000,Philip Francis 1708?-1773,Philip Francis,Francis,1708?,1773
1018102000,INTRODUCTION TO SHAKESPEARE's PLAYS CONTAINING AN ESSAY ON ORATORY.,1773,London : printed for John Bell near Exeter-Exchange in the Strand; and C. Etherington at York,London,12690,CW3315648350,K023584.000,Francis Gentleman 1728-1784,Francis Gentleman,Gentleman,1728,1784
101903100,AN ANSWER TO A PAMPHLET ENTITULED An Argument to prove the AFFECTIONS of the People of ENGLAND to be the best Security of the GOVERNMENT.,1716,[Edinburgh] : According to the copy printed at London by S. Gray Anno Dom.,Edinburgh,4576,CW3303850141,K068536.000,Joseph Addison 1672-1719,Joseph Addison,Addison,1672,1719
1020400200,MISCELLANIES; OR LITERARY RECREATIONS.,1796,London : printed for T. Cadell and W. Davies. 1796. Entered at Stationers' Hall,London,62222,CW3315655155,K088018.000,Isaac Disraeli 1766-1848,Isaac Disraeli,Disraeli,1766,1848
1020400300,CURIOSITIES OF LITERATURE.,1791,London : printed for J. Murray NO. 32 Fleet Street,London,82256,CW3315655600,K092747.000,Isaac Disraeli 1766-1848,Isaac Disraeli,Disraeli,1766,1848
1020700300,THE HEIRESS. A COMEDY IN FIVE ACTS. AS PERFORMED AT THE THEATRE-ROYAL DRURY-LANE.,1786,London : printed for J. Debrett Opposite Burlington-House Piccadilly,London,25491,CW3315657260,K037679.000,John Burgoyne 1722-1792,John Burgoyne,Burgoyne,1722,1792
1021100500,THE SCHOOL FOR SCANDAL; A COMEDY; AS IT IS PERFORMED AT THE THEATRES-ROYAL IN LONDON AND DUBLIN.,1781,London : printed for J. Bew in Pater-Noster-Row,London,22275,CW3315661936,K125710.000,Richard Brinsley Sheridan 1751-1816,Richard Brinsley Sheridan,Sheridan,1751,1816
1023300700,ODE TO DRAGON Mr. GARRICK's House-dog AT HAMPTON.,1777,London : printed for T. Cadell in the Strand,London,704,CW3315667028,K119911.000,Hannah More 1745-1833,Hannah More,More,1745,1833
102600300,AN ACCOUNT OF THE GREAT and GENEROUS ACTIONS OF James Butler ( Duke of Ormond.),1715,London : printed for J. Moore near St. Paul's and sold by the Book-Sellers,London,8206,CW3300159149,K047748.000,Daniel Defoe 1661?-1731,Daniel Defoe,Defoe,1661?,1731
1027600800,THE TEMPLE OF FAME: A VISION.,1715,London : printed for Bernard Lintott between the two Temple-Gates in Fleetstreet,London,7054,CW3315793665,K023195.000,Alexander Pope 1688-1744,Alexander Pope,Pope,1688,1744
1027700600,A LETTER TO THE EARL of SHELBURNE ON HIS SPEECH JULY 10 1782 RESPECTING THE ACKNOWLEDGEMENT OF AMERICAN INDEPENDENCE.,1783,[London] : Philadelphia printed. London reprinted: for J. Stockdale in Piccadilly,London,4428,cw3315793880,K023267.000,Thomas Paine 1737-1809,Thomas Paine,Paine,1737,1809
1027700700,THOUGHTS ON THE PEACE AND THE PROBABLE ADVANTAGES THEREOF TO THE UNITED STATES OF AMERICA.,1783,[London] : Philadelphia printed: London reprinted for J. Stockdale in Piccadilly,London,3062,cw3315793911,K023293.000,Thomas Paine 1737-1809,Thomas Paine,Paine,1737,1809
1027700800,PROSPECTS ON THE RUBICON OR AN INVESTIGATION INTO THE CAUSES AND CONSEQUENCES OF THE POLITICS TO BE AGITATED AT THE MEETING OF PARLIAMENT.,1787,London : printed for J. Debrett Piccadilly,London,12337,cw3315793933,K023274.000,Thomas Paine 1737-1809,Thomas Paine,Paine,1737,1809
1028601000,In the Dead of the Night.,1791,[London] : Sold by J. Evans no. 41 Long-Lane,London,240,CW3315800305,K126403.000,Mrs. Inchbald 1753-1821,Mrs. Inchbald,Inchbald,1753,1821
1032900302,THE Family Instructor. In Two PARTS. I. Relating to Family Breaches and their obstructing Religious Duties.II. To the great Mistake of mixing the Passions in the Managing and Correcting of Children. WITH A great Variety of Cases relating to setting Ill Examples to Children and Servants.,1718,London : printed for Eman. Matthews at the Bible in Pater-Noster-Row,London,128986,CW3322551923,K060994.002,Daniel Defoe 1661?-1731,Daniel Defoe,Defoe,1661?,1731
1034000600,THE TRAGEDY OF Chrononhotonthologos: BEING The most Tragical Tragedy that ever was Tragediz'd by any Company of TRAGEDIANS.,1734,London : printed for J. Shuckburgh and L. Gilliver in Fleet-Street J. Jackson in Pall-Mall;,London,3170,CW3315811076,K051011.000,Henry Carey 1687?-1743,Henry Carey,Carey,1687?,1743
1034200201,HERMIONE OR THE ORPHAN SISTERS.,1791,London : printed for William Lane at the Minerva,London,40110,CW3315811323,K110414.001,Charlotte ca. Lennox 1729-1804,Charlotte ca. Lennox,Lennox,1729,1804
1034200202,HERMIONE OR THE ORPHAN SISTERS.,1791,London : printed for William Lane at the Minerva,London,42180,CW3315811605,K110414.002,Charlotte ca. Lennox 1729-1804,Charlotte ca. Lennox,Lennox,1729,1804
1034200203,ERMIONE OR THE ORPHAN SISTERS.,1791,London : printed for William Lane at the Minerva,London,42965,CW3315811909,K110414.003,Charlotte ca. Lennox 1729-1804,Charlotte ca. Lennox,Lennox,1729,1804
1034200204,HERMIONE OR THE ORPHAN SISTERS.,1791,London : printed for William Lane at the Minerva,London,37077,CW3315812217,K110414.004,Charlotte ca. Lennox 1729-1804,Charlotte ca. Lennox,Lennox,1729,1804
1034500200,A POEM Sacred to the MEMORY of SIR ISAAC NEWTON.,1727,Dublin : printed by S. Powell for Richard Norris at the Corner of Crane-Lane in Essex-Street,Dublin,1860,CW3315816561,K080517.000,James Thomson 1700-1748,James Thomson,Thomson,1700,1748
1034500500,THE ACTOR. A POETICAL EPISTLE. TO BONNELL THORNTON Esq.,1760,London : printed for R. and J. Dodsley in Pall-Mall,London,2025,CW3315816616,K029653.000,Robert LLoyd 1733-1764,Robert LLoyd,LLoyd,1733,1764
1034500500,THE ACTOR. A POETICAL EPISTLE. TO BONNELL THORNTON Esq.,1760,London : printed for R. and J. Dodsley in Pall-Mall,London,2025,CW3315816616,K029653.000,Robert LLoyd 1733-1764,Robert LLoyd,Lloyd,1733,1764
1034500500,THE ACTOR. A POETICAL EPISTLE. TO BONNELL THORNTON Esq.,1760,London : printed for R. and J. Dodsley in Pall-Mall,London,2025,CW3315816616,K029653.000,Robert Lloyd 1733-1764,Robert Lloyd,LLoyd,1733,1764
1034500500,THE ACTOR. A POETICAL EPISTLE. TO BONNELL THORNTON Esq.,1760,London : printed for R. and J. Dodsley in Pall-Mall,London,2025,CW3315816616,K029653.000,Robert Lloyd 1733-1764,Robert Lloyd,Lloyd,1733,1764
104100603,Mr. POPE's Literary Correspondence.,1735,London : printed for E. Curll,London,71854,CW3324717816,K023003.003,Alexander Pope 1688-1744,Alexander Pope,Pope,1688,1744
1042600500,THE ENTHUSIAST: OR THE LOVER OF NATURE.,1744,London : printed for R. Dodsley at Tully's Head in Pall-Mall; and sold by M. Cooper in Pater-Nos,London,1773,CW3315850338,K035739.000,Joseph Warton 1722-1800,Joseph Warton,Warton,1722,1800
1042701200,ODES ON Several SUBJECTS.,1745,London : printed for R. Dodsley at Tully's Head in Pall-Mall. And sold by M. Cooper in Pater-Nos,London,5093,CW3315852716,K027268.000,Mark Akenside 1721-1770,Mark Akenside,Akenside,1721,1770
1046700601,THE Family Instructor IN Three PARTS; I. Relating to Fathers and Children.II. To Masters and Servants.III. To Husbands and Wives.,1715,London : printed for Eman. Matthews at the Bible in Pater-Noster-Row,London,118267,CW3322893796,K060993.001,Daniel Defoe 1661?-1731,Daniel Defoe,Defoe,1661?,1731
1048700200,CHEAP REPOSITORY. SUNDAY READING. Bear ye one another's Burthens; OR THE VALLEY OF TEARS: A VISION.,1795,[London] : Sold by J. Marshall (printer to the Cheap Repository for Moral and Religious Tracts),London,2013,CW3316021479,K045376.000,Hannah More 1745-1833,Hannah More,More,1745,1833
1048700400,CHEAP REPOSITORY.,1796,[London] : Sold by J. Marshall Printer to the Cheap Repository for Moral and Religious Tracts),London,5686,CW3316021511,K037835.000,Hannah More 1745-1833,Hannah More,More,1745,1833
1048700500,CHEAP REPOSITORY. JACK BROWN in Prison; OR The PITCHER never goes so often to the Well but it is broke at last. Being the FOURTH PART of the HISTORY of the TWO SHOEMAKERS.,1796,[London] : Sold by J. Marshall (printer to the Cheap Repository for Religious and Moral Tracts),London,5299,CW3316021533,K033556.000,Hannah More 1745-1833,Hannah More,More,1745,1833
1048700900,CHEAP REPOSITORY. BETTY BROWN THE St. GILES'S ORANGE GIRL: WITH Some Account of Mrs. SPONGE the Money-lender.,1795,[London] : Sold by J. Marshall (printer to the Cheap Repository for Moral and Religious Tracts),London,4140,CW3316021588,K030629.000,Hannah More 1745-1833,Hannah More,More,1745,1833
1048701300,CHEAP REPOSITORY. JOHN the SHOPKEEPER TURNED SAILOR; OR THE Folly of going out of our Element. In which a particular Account is given of the several Branches of this worthy Family PART II.,1796,[London] : Sold by J. Marshall (printer to the Cheap Repository for Religious and Moral Tracts),London,1188,CW3316021634,K114805.000,Hannah More 1745-1833,Hannah More,More,1745,1833
1048701400,CHEAP REPOSITORY. THE HACKNEY COACHMAN; OR The Way to get a good Fare. To the Tune of I wish I was a Fisherman &amp;c.,1796,[London] : Sold by J. Marshall (printer to the Cheap Repository for Religious and Moral Tracts),London,911,CW3316021642,K037587.000,Hannah More 1745-1833,Hannah More,More,1745,1833
1048701600,CHEAP REPOSITORY. TURN THE CARPET; OR THE TWO WEAVERS: A NEW SONG IN A Dialogue between DICK and JOHN.,1796,[London] : Sold by J. Marshall (printer to the Cheap Repository for Religious and Moral Tracts),London,709,CW3316021656,K047175.000,Hannah More 1745-1833,Hannah More,More,1745,1833
1048701900,CHEAP REPOSITORY.,1796,[London] : Sold by J. Marshall (printer to the Cheap Repository for Moral and Religious Tracts),London,4446,CW3316021677,K031002.000,Hannah More 1745-1833,Hannah More,More,1745,1833
1048702000,CHEAP REPOSITORY. JOHN the SHOPKEEPER TURNED SAILOR; PART III. SHEWING How JOHN and his family actually took Boat and how they had for a while a most delightful sail on the wide Ocean.,1796,[London] : Sold by J. Marshall (printer to the Cheap Repository for Moral and Religious Tracts),London,957,CW3316021693,K114806.000,Hannah More 1745-1833,Hannah More,More,1745,1833
1051500400,A GENUINE NARRATIVE Of the MEMORABLE LIFE and ACTIONS OF JOHN DYER (Who was Executed at TYBURN on Friday the 21st Day of November 1729.),1729,London : printed and sold by J. Applebee in Black-Fryers; W. Meadows at the Angel in Cornhill;,London,8613,CW3303925077,K063343.000,John d. Dyer 1729-,John d. Dyer,Dyer,1729,
105700101,THE SERMONS OF Mr. YORICK.,1760,London : printed for R. and J. Dodsley in Pall-Mall,London,23564,CW3317847120,K027621.001,Laurence Sterne 1713-1768,Laurence Sterne,Sterne,1713,1768
105700102,THE SERMONS OF Mr. YORICK.,1760,London : printed for R. and J. Dodsley in Pall-Mall,London,28342,CW3317847329,K027621.002,Laurence Sterne 1713-1768,Laurence Sterne,Sterne,1713,1768
1058401600,THE AMERICAN CRISIS AND A LETTER TO SIR GUY CARLETON ON THE MURDER OF CAPTAIN HUDDY AND THE INTENDED RETALIATION ON CAPTAIN ASGILL OF THE GUARDS.,1796,London : printed and sold by Daniel Isaac Eaton No. 74 Newgate-Street,London,67326,CW3305901409,K000934.000,Thomas Paine 1737-1809,Thomas Paine,Paine,1737,1809
106100100,NOTES UPON THE TWELVE BOOKS OF PARADISE LOST.,1719,London : printed for Jacob Tonson at Shakespear's Head over-against Katharine-Street in the St,London,40097,CW3310398119,K072424.000,Joseph Addison 1672-1719,Joseph Addison,Addison,1672,1719
106300600,Ye True-Born Englishmen Proceed,1701,[London : s.n.,London,998,CW3312140997,K060836.000,Daniel Defoe 1661?-1731,Daniel Defoe,Defoe,1661?,1731
1068301600,A Short View OF The Present State OF THE Protestant Religion IN BRITAIN AS It is now profest in the Episcopal Church in England the Presbyterian Church in Scotland and the Dissenters in Both.,1707,Edinburgh : [s.n.],Edinburgh,14285,CW3322738040,K049441.000,Daniel Defoe 1661?-1731,Daniel Defoe,Defoe,1661?,1731
1070000300,THE Sincerity of the Dissenters VINDICATED From the Scandal of Occasional Conformity WITH Some Considerations on a late Book Entitul'd Moderation a Vertue.,1703,London : [s.n.],London,7740,CW3316174708,K035870.000,Daniel Defoe 1661?-1731,Daniel Defoe,Defoe,1661?,1731
107300800,AN ESSAY on SATIRE: Occasion'd by the DEATH of Mr. POPE.,1745,London : printed for R. Dodsley at Tully's Head in Pall-Mall,London,4995,CW3324744283,K036062.000,John Brown 1715-1766,John Brown,Brown,1715,1766
1073800300,REMARKS ON A PRINTED PAPER LATELY HANDED ABOUT INTITULED A Catalogue of the Sacred Vessels restored by Cyâˆ£rus; and of the Chief Jews who returned at first from the Captivity; together with the Names of the returning Families and the Number of the Persons at that Time in each Family: Disposed in such a Manner as to shew most clearly the great Corâˆ£ruption of Proper Names and Numbers in the preâˆ£sent Text of the Old-Testament.,1775,London : printed for B. White at Horace's-Head Fleet-Street,London,5604,CW3316092836,K020253.000,Granville Sharp 1735-1813,Granville Sharp,Sharp,1735,1813
1076100800,A LETTER FROM EDMUND BURKE Esq One of the Representatives in Parliament for the City of BRISTOL TO JOHN FARR and JOHN HARRIS Esqrs. Sheriffs of that City ON THE AFFAIRS OF AMERICA.,1777,London : printed for J. Dodsley in Pall-Mall,London,16726,CW3305934969,K038693.000,Edmund Burke 1729-1797,Edmund Burke,Burke,1729,1797
1078200800,JUSTIFICATION BY CHRIST alone: (A Fountain of Life and Comfort.) DECLARING That the whole Work of Man's Salvation was accomplished by JESUS CHRIST upon the Cross in that he took away and healed all his from all Sins and presented them to God holy without Fault in his Sight.,1745,London : printed by John Hart in Popping's-Court Fleet-Street; and sold by J. Lewis in Bartholo,London,4364,CW3322771588,K092821.000,Samuel fl. Richardson 1643-1658,Samuel fl. Richardson,Richardson,1643,1658
1078700300,THE FAST A POEM TRANSLATED FROM THE PROPHET ISAIAH.,1797,[Newcastle upon Tyne?,Newcastle upon Tyne,4695,CW3322779190,K004143.000,James Murray 1732-1782,James Murray,Murray,1732,1782
1079500700,A HERMIT'S TALE: RECORDED BY HIS OWN HAND AND FOUND IN HIS CELL.,1787,London : printed for T. Cadell In The Strand,London,3544,CW3303926059,K010810.000,Sophia Lee 1750-1824,Sophia Lee,Lee,1750,1824
10800101,THE HISTORY OF RELIGION: PARTICULARLY OF THE Principal Denominations of CHRISTIANS VIZ. Of the Church of RomeOf the Church of EnglandOf the Church of ScotlandOf the NonjurorsOf the LutheransOf the PresbyteriansOf the IndependentsOf the Baptists in generalOf the QuakersOf the AntinomiansOf the MoraviansOf the Methodists in general.,1764,London : printed for C. Henderson at the Royal Exchange; W. Nicoll in St. Paul's Church Yard;,London,150485,CW3322440565,K052994.001,James Murray 1732-1782,James Murray,Murray,1732,1782
10800104,THE HISTORY OF RELIGION: Particularly of the Principal Denominations of CHRISTIANS VIZ. Of the Church of RomeOf the Church of EnglandOf the Church of ScotlandOf the NonjurorsOf the LutheransOf the PresbyteriansOf the IndependentsOf the Baptists in generalOf the QuakersOf the AntinomiansOf the MoraviansOf the Methodists in general.,1764,London : printed for C. Henderson at the Royal Exchange; W. Nicoll in St. Paul's Church Yard;,London,169346,CW3322441072,K052994.004,James Murray 1732-1782,James Murray,Murray,1732,1782
1081300500,ON RHEUMATISM AND GOUT; A LETTER ADDRESSED TO SIR GEORGE BAKER BART. M.D. F.R.S. F.A.S. &amp;c. &amp;c.,1796,London : printed for T. N. Longman NO 39. Paternoster-Row,London,14058,cw3309026987,K006534.000,John Latham 1761-1843,John Latham,Latham,1761,1843
1082102300,A SERMON Preached before the Incorporated SOCIETY FOR THE Propagation of the Gospel in Foreign Parts; AT THEIR ANNIVERSARY MEETING IN THE Parish-Church of St Mary-le-Bow On FRIDAY February 18. 1731.,1732,London : printed by J. Downing in Bartholomew-Close near West-Smithfield,London,6292,CW3322796466,K044692.000,George Berkeley 1685-1753,George Berkeley,Berkeley,1685,1753
1082102400,A SERMON Preach'd in Lambeth-Chapel AT THE CONSECRATION OF THE Right Reverend Father in God JOHN Lord Bishop of BANGOR On Sunday Jan. 4th 1701/2.,1702,London : printed for Jacob Tonson within Gray's-Inn-Gate next Gray's-Inn-Lane,London,5107,CW3322796500,K025272.000,William Hayley 1657-1715,William Hayley,Hayley,1657,1715
1084303400,POEMS ON SEVERAL OCCASIONS.,1714,London : printed for E. Curll at the Dial and Bible against St. Dunstan's Church in Fleet-Street,London,4125,CW3316195562,K041597.000,Nicholas Rowe 1674-1718,Nicholas Rowe,Rowe,1674,1718
1084303600,KILKENNY: OR THE OLD MAN'S WISH.,1748,Dublin : printed for the author and sold by G. Faulkner in Essex Street G. and A. Ewing and,Dublin,2245,CW3316195646,K025607.000,W. R. (William Rufus) d. Chetwood 1766-,W. R. (William Rufus) d. Chetwood,Chetwood,1766,
1084500101,THE NATURAL HISTORY OF BIRDS.,1793,London : printed for A. Strahan and T. Cadell; and J. Murray,London,99418,CW3309028249,K109756.001,Georges Louis Leclerc comte de Buffon 1707-1788,Georges Louis Leclerc comte de Buffon,Buffon,1707,1788
1084500102,THE NATURAL HISTORY OF BIRDS.,1793,London : printed for A. Strahan and T. Cadell; and J. Murray,London,111820,CW3309028715,K109756.002,Georges Louis Leclerc comte de Buffon 1707-1788,Georges Louis Leclerc comte de Buffon,Buffon,1707,1788
1084500103,THE NATURAL HISTORY OF BIRDS.,1793,London : printed for A. Strahan and T. Cadell; and J. Murray,London,96570,CW3309873333,K109756.003,Georges Louis Leclerc comte de Buffon 1707-1788,Georges Louis Leclerc comte de Buffon,Buffon,1707,1788
1087800500,The FOX-CHACE. A Favourite Hunting Song Sung at the grand Hunts of England.,1790,[London? : s.n.,London,372,CW3316204561,K131881.000,'Keeffe John O 1747-1833,'Keeffe John O,O,1747,1833
1087800800,Sally of our Alley.,1795,[London] : Printed and sold by J Davenport No. 6 Little Chatherine-Street Strand London,London,290,CW3316204565,K131924.000,Henry Carey 1687?-1743,Henry Carey,Carey,1687?,1743
108801200,HUMAN AUTHORITY IN MATTERS OF FAITH REPUGNANT TO CHRISTIANITY: ILLUSTRATED IN TWO DISCOURSES ON MATTH. xxiii. 8.,1774,London : printed for J. Johnson No 72. in St. Paul's Church-Yard,London,15261,CW3317856459,K005472.000,William Hazlitt 1737-1820,William Hazlitt,Hazlitt,1737,1820
